PID,Benchmark,WCET,Period,Deadline,Criticality,TempSens,LoadSens,Energy,Predecessors
T2983,PapaBench,4.77,77.59,67.25,Low,0.85,1.31,4.53,T2982
T2984,EEMBC,20.65,239.81,187.53,High,1.26,1.04,28.5,T2983
T2985,EEMBC,25.16,230.75,109.49,Low,1.49,1.02,48.56,T2984
T2986,TACLeBench,13.64,69.72,31.1,Low,1.14,1.05,14.59,T2985
T2987,EEMBC,21.38,222.6,36.45,Low,0.81,1.2,25.87,T2986
T2988,MiBench,42.66,435.83,365.11,Low,1.26,1.31,78.07,T2987
T2989,TACLeBench,15.03,176.69,41.42,High,1.0,0.91,22.09,T2988
T2990,PapaBench,4.68,31.12,5.64,High,1.37,1.25,4.21,T2989
T2991,MiBench,38.9,433.55,359.06,Low,1.01,1.28,65.74,T820
T2992,MiBench,13.63,262.85,161.59,Low,1.29,1.07,26.58,T2991
T2993,Malardalen,1.93,45.84,9.59,High,1.32,0.83,0.98,T2992
T2994,TACLeBench,4.49,87.95,76.04,High,1.21,0.93,6.65,T2993
T2995,MiBench,33.33,131.12,128.61,High,1.07,1.25,40.33,T2994
T2996,Malardalen,1.68,10.78,4.45,High,0.97,1.28,0.94,T2995
T2997,TACLeBench,4.75,163.46,8.48,Low,0.93,1.17,4.32,T2996
T2998,TACLeBench,5.99,104.22,59.1,Low,1.4,1.3,5.27,T2997
T2999,EEMBC,17.85,83.89,38.42,High,1.45,1.32,38.2,T2998
T3000,TACLeBench,10.33,163.79,152.32,Low,1.37,0.96,14.05,T2999
T3001,PapaBench,3.37,57.09,32.13,High,1.1,1.1,4.01,T2369
T3002,Malardalen,0.4,90.55,68.83,Low,1.47,0.89,0.3,T3001
T3003,EEMBC,19.42,198.19,164.91,Low,1.46,1.15,36.7,T3002
T3004,MiBench,35.99,350.32,261.62,High,1.27,0.95,44.63,T3003
T3005,Malardalen,0.6,52.25,25.43,High,1.1,1.01,0.59,T3004
T3006,TACLeBench,17.15,128.36,52.0,High,1.11,0.97,16.64,T3005
T3007,EEMBC,4.66,146.41,57.7,Low,0.94,1.17,9.6,T3006
T3008,EEMBC,13.43,231.37,47.58,Low,1.33,1.12,17.32,T3007
T3009,EEMBC,14.55,236.1,177.55,Low,1.3,1.03,23.43,T3008
T3010,EEMBC,1.11,108.04,68.2,High,1.19,0.84,1.89,T3009
T3011,PapaBench,4.04,27.32,25.04,Low,0.85,0.97,2.42,T1837
T3012,PapaBench,0.27,138.62,20.13,High,1.31,1.07,0.28,T3011
T3013,EEMBC,14.89,218.7,171.62,Low,1.12,1.2,20.25,T3012
T3014,Malardalen,1.93,29.0,12.04,High,0.87,0.9,1.14,T3013
T3015,EEMBC,11.52,80.21,72.87,Low,0.91,1.14,22.0,T3014
T3016,MiBench,43.06,494.46,334.66,High,1.45,0.96,63.73,T3015
T3017,MiBench,14.05,443.54,320.42,Low,0.95,1.14,19.67,T3016
T3018,TACLeBench,1.15,167.16,67.0,Low,1.49,1.38,1.58,T3017
T3019,PapaBench,3.51,142.22,47.24,Low,1.07,0.93,3.12,T3018
T3020,PapaBench,0.94,160.29,74.4,High,1.34,1.08,1.07,T3019
T3021,TACLeBench,13.36,102.6,44.37,Low,1.27,1.02,18.97,T540
T3022,Malardalen,1.39,21.19,20.97,High,1.2,0.87,0.99,T3021
T3023,PapaBench,2.4,202.68,67.83,Low,0.91,1.09,2.4,T3022
T3024,TACLeBench,15.02,135.72,107.88,Low,1.07,1.3,12.77,T3023
T3025,Malardalen,1.12,43.89,28.74,High,1.36,1.32,0.78,T3024
T3026,MiBench,18.23,202.61,134.67,Low,0.81,0.84,36.1,T3025
T3027,Malardalen,0.56,43.91,38.34,High,1.35,1.18,0.34,T3026
T3028,Malardalen,1.37,51.69,10.24,Low,1.28,0.93,1.21,T3027
T3029,PapaBench,1.53,221.66,188.24,High,0.84,1.11,1.07,T3028
T3030,EEMBC,1.63,242.68,168.0,High,0.84,1.2,3.85,T3029
T3031,MiBench,40.92,396.72,281.35,High,1.35,1.16,59.74,T2596
T3032,PapaBench,2.83,101.83,31.76,High,0.94,1.28,3.14,T3031
T3033,PapaBench,4.49,176.18,118.98,Low,0.92,0.95,4.8,T3032
T3034,TACLeBench,0.44,178.06,126.61,Low,1.4,1.36,0.54,T3033
T3035,TACLeBench,16.12,174.87,104.23,Low,1.03,1.37,14.35,T3034
T3036,TACLeBench,10.83,173.75,161.78,Low,0.84,1.02,15.81,T3035
T3037,TACLeBench,2.05,50.28,31.4,High,1.34,1.23,2.15,T3036
T3038,TACLeBench,1.24,81.4,8.49,High,1.19,0.82,1.25,T3037
T3039,TACLeBench,10.25,79.59,27.15,High,0.89,0.8,11.68,T3038
T3040,EEMBC,10.92,142.01,125.53,Low,0.85,1.05,18.35,T3039
T3041,MiBench,23.61,330.77,171.96,Low,0.83,1.31,26.21,T3018
T3042,EEMBC,18.62,271.74,220.02,High,0.89,1.1,37.43,T3041
T3043,PapaBench,1.79,132.02,110.98,Low,1.25,0.88,2.11,T3042
T3044,MiBench,38.13,478.81,112.49,Low,1.36,0.81,44.61,T3043
T3045,PapaBench,1.06,228.29,171.29,Low,0.89,1.11,0.89,T3044
T3046,MiBench,22.67,323.47,243.22,Low,0.91,1.37,45.11,T3045
T3047,MiBench,43.36,106.6,86.84,Low,1.42,0.96,54.2,T3046
T3048,Malardalen,0.68,90.32,22.03,High,0.96,0.96,0.67,T3047
T3049,TACLeBench,13.2,180.76,43.95,Low,1.35,0.83,16.24,T3048
T3050,Malardalen,0.43,14.02,7.27,High,0.88,1.16,0.27,T3049
T3051,MiBench,16.64,380.64,271.51,Low,0.99,1.3,23.13,T358
T3052,EEMBC,13.78,186.66,151.39,Low,0.88,1.29,31.14,T3051
T3053,EEMBC,19.55,204.34,40.77,High,1.02,1.39,29.72,T3052
T3054,PapaBench,0.38,59.46,22.39,High,1.22,1.21,0.42,T3053
T3055,TACLeBench,4.49,121.89,88.98,High,0.87,1.36,4.8,T3054
T3056,PapaBench,2.14,58.84,9.87,Low,1.37,0.94,1.39,T3055
T3057,EEMBC,11.04,293.07,262.52,High,1.17,1.11,18.44,T3056
T3058,Malardalen,1.31,25.7,8.47,Low,0.82,0.88,0.85,T3057
T3059,TACLeBench,18.52,165.79,77.85,High,1.27,1.27,15.19,T3058
T3060,PapaBench,0.5,154.41,97.08,Low,0.88,1.32,0.59,T3059
T3061,EEMBC,19.6,298.3,36.94,Low,1.49,1.16,35.08,T1822
T3062,Malardalen,0.97,87.22,36.17,High,1.17,0.94,0.86,T3061
T3063,PapaBench,1.23,159.92,153.89,High,1.23,0.83,1.03,T3062
T3064,Malardalen,1.57,92.19,74.2,High,1.12,1.05,1.26,T3063
T3065,MiBench,27.32,411.79,293.79,Low,1.44,1.29,31.96,T3064
T3066,PapaBench,2.74,224.76,132.86,High,1.48,1.09,2.82,T3065
T3067,EEMBC,14.59,245.52,21.83,High,1.08,0.94,25.24,T3066
T3068,MiBench,12.35,143.23,72.79,Low,0.87,0.9,20.5,T3067
T3069,MiBench,14.53,302.81,216.61,Low,1.08,1.24,14.82,T3068
T3070,EEMBC,17.69,60.03,22.07,Low,1.44,1.3,35.03,T3069
T3071,TACLeBench,10.51,125.38,71.62,High,1.38,1.23,15.45,T2779
T3072,Malardalen,0.59,73.65,1.57,Low,1.2,0.98,0.35,T3071
T3073,TACLeBench,10.67,165.47,54.07,Low,1.44,0.88,13.87,T3072
T3074,EEMBC,26.03,236.72,94.72,High,1.0,1.4,55.18,T3073
T3075,PapaBench,4.66,126.4,81.79,High,1.1,1.04,4.89,T3074
T3076,PapaBench,4.19,104.58,21.34,High,1.47,1.1,4.15,T3075
T3077,MiBench,19.19,340.22,232.71,Low,1.06,1.19,37.61,T3076
T3078,PapaBench,0.57,111.41,39.61,High,1.25,0.82,0.54,T3077
T3079,Malardalen,1.71,45.16,4.63,High,1.01,1.25,1.32,T3078
T3080,PapaBench,1.58,148.79,40.44,High,1.34,0.86,1.14,T3079
T3081,Malardalen,0.32,80.7,58.63,High,1.27,1.19,0.27,T2339
T3082,EEMBC,25.94,105.33,69.88,Low,0.84,0.86,64.33,T3081
T3083,MiBench,49.05,196.49,71.19,Low,1.35,1.29,86.82,T3082
T3084,MiBench,35.33,428.63,368.27,Low,1.16,1.33,50.52,T3083
T3085,MiBench,23.75,108.15,105.9,High,0.97,1.38,38.48,T3084
T3086,Malardalen,1.23,95.05,84.67,High,1.38,1.1,0.75,T3085
T3087,MiBench,11.42,256.97,174.68,High,0.96,1.38,15.53,T3086
T3088,PapaBench,3.18,139.9,93.04,Low,1.29,1.34,2.42,T3087
T3089,EEMBC,11.13,243.54,16.18,High,1.06,0.82,19.03,T3088
T3090,EEMBC,6.25,133.4,19.43,Low,1.48,1.29,9.5,T3089
T3091,EEMBC,8.95,148.52,123.67,High,1.23,1.16,20.5,T2389
T3092,TACLeBench,11.16,141.63,134.88,Low,0.85,1.32,15.96,T3091
T3093,MiBench,33.77,469.88,439.72,Low,1.18,1.38,67.54,T3092
T3094,EEMBC,26.42,109.75,84.22,High,1.39,1.27,52.84,T3093
T3095,MiBench,48.16,331.09,58.57,High,1.08,1.08,67.42,T3094
T3096,TACLeBench,1.66,94.15,87.04,Low,1.08,1.28,1.58,T3095
T3097,TACLeBench,4.67,193.7,138.42,High,1.4,1.04,5.98,T3096
T3098,Malardalen,1.04,23.26,14.92,High,1.2,1.34,0.87,T3097
T3099,EEMBC,1.15,228.68,122.94,Low,1.18,0.99,1.95,T3098
T3100,EEMBC,15.28,52.98,48.47,High,1.05,1.3,34.53,T3099
T3101,Malardalen,0.98,61.47,25.6,High,1.26,1.17,0.64,T534
T3102,Malardalen,1.28,86.99,32.74,High,1.38,1.09,0.83,T3101
T3103,MiBench,30.48,231.86,116.93,High,1.18,1.15,34.75,T3102
T3104,EEMBC,10.21,246.22,104.26,Low,1.03,1.31,14.8,T3103
T3105,Malardalen,0.68,13.78,0.91,High,0.89,1.08,0.47,T3104
T3106,EEMBC,17.91,175.81,102.22,Low,1.15,0.83,43.52,T3105
T3107,Malardalen,0.63,12.96,2.62,Low,1.14,1.12,0.63,T3106
T3108,EEMBC,23.86,292.8,25.29,Low,1.21,0.87,45.57,T3107
T3109,PapaBench,2.86,94.23,62.13,Low,1.12,1.17,2.37,T3108
T3110,PapaBench,1.0,30.19,25.03,High,1.4,0.99,0.88,T3109
T3111,PapaBench,1.07,246.81,172.29,Low,1.32,0.94,0.98,T661
T3112,EEMBC,17.36,193.48,53.63,Low,1.02,1.29,42.18,T3111
T3113,PapaBench,4.02,105.14,71.89,High,0.93,0.9,2.85,T3112
T3114,TACLeBench,2.86,187.82,3.74,Low,0.85,1.15,3.52,T3113
T3115,TACLeBench,0.87,100.19,5.46,Low,1.23,1.06,1.27,T3114
T3116,TACLeBench,1.85,182.78,22.86,High,1.25,0.93,1.63,T3115
T3117,EEMBC,7.85,185.05,30.51,Low,1.38,1.33,16.17,T3116
T3118,Malardalen,0.61,29.89,16.93,High,0.81,0.93,0.56,T3117
T3119,MiBench,25.08,434.98,261.27,High,1.38,0.97,29.09,T3118
T3120,EEMBC,20.78,120.96,50.19,Low,1.48,0.82,40.52,T3119
T3121,MiBench,40.18,350.91,66.92,Low,1.45,1.21,59.47,T414
T3122,MiBench,13.8,406.55,288.96,Low,0.96,1.0,23.46,T3121
T3123,TACLeBench,6.8,161.53,113.99,Low,0.83,1.16,6.73,T3122
T3124,PapaBench,0.69,48.91,43.42,High,0.82,0.93,0.63,T3123
T3125,EEMBC,11.95,113.14,92.57,High,0.8,1.09,20.43,T3124
T3126,PapaBench,0.74,70.71,61.61,High,1.28,1.22,0.51,T3125
T3127,MiBench,46.14,435.02,99.32,Low,1.05,1.18,82.13,T3126
T3128,EEMBC,4.3,248.25,71.88,Low,0.82,0.9,8.73,T3127
T3129,Malardalen,1.93,49.24,39.73,High,1.3,1.01,1.83,T3128
T3130,MiBench,13.96,149.48,51.43,High,1.33,0.99,19.96,T3129
T3131,TACLeBench,12.9,86.42,29.62,High,0.94,1.31,17.54,T298
T3132,PapaBench,4.18,114.94,90.01,Low,1.2,1.35,3.3,T3131
T3133,MiBench,33.95,125.36,100.74,Low,0.84,0.89,64.17,T3132
T3134,PapaBench,1.1,229.96,26.5,Low,1.5,1.13,0.88,T3133
T3135,Malardalen,0.7,45.7,15.78,High,1.37,0.91,0.63,T3134
T3136,TACLeBench,7.65,160.16,25.16,High,0.94,1.16,9.49,T3135
T3137,EEMBC,8.06,88.96,75.27,Low,1.01,1.11,10.96,T3136
T3138,EEMBC,28.35,204.2,191.54,Low,0.98,0.87,58.4,T3137
T3139,TACLeBench,0.65,108.8,40.36,High,0.95,0.82,0.77,T3138
T3140,MiBench,26.87,476.43,150.61,High,1.13,1.35,40.04,T3139
T3141,MiBench,36.25,162.91,58.56,Low,1.4,1.0,45.67,T1374
T3142,EEMBC,15.81,56.17,41.04,Low,0.9,1.31,37.15,T3141
T3143,TACLeBench,18.87,87.89,42.4,Low,1.48,1.28,27.74,T3142
T3144,MiBench,29.08,168.74,81.69,High,1.04,0.96,56.12,T3143
T3145,PapaBench,2.59,116.25,16.13,High,0.83,1.1,2.31,T3144
T3146,MiBench,32.45,143.31,135.58,High,1.01,0.86,45.11,T3145
T3147,EEMBC,23.87,52.75,35.52,Low,1.1,1.36,28.64,T3146
T3148,PapaBench,0.32,177.91,92.2,High,1.27,1.23,0.22,T3147
T3149,MiBench,39.25,389.66,122.21,Low,1.35,1.05,69.08,T3148
T3150,MiBench,23.78,324.12,281.34,High,1.49,0.83,36.86,T3149
T3151,MiBench,24.76,465.68,262.12,Low,0.83,0.86,31.94,T1612
T3152,Malardalen,0.33,79.88,33.42,High,0.96,1.03,0.33,T3151
T3153,Malardalen,1.55,43.45,36.78,Low,1.03,1.3,1.5,T3152
T3154,EEMBC,4.99,180.87,29.78,High,1.24,1.12,11.48,T3153
T3155,MiBench,17.31,125.04,121.07,Low,1.01,1.25,21.46,T3154
T3156,MiBench,37.65,270.25,77.98,Low,0.92,1.33,38.4,T3155
T3157,Malardalen,1.66,15.64,8.81,High,0.92,0.92,1.39,T3156
T3158,TACLeBench,10.75,62.96,34.39,Low,1.37,1.0,14.62,T3157
T3159,TACLeBench,14.08,178.42,42.65,Low,1.49,1.22,18.16,T3158
T3160,MiBench,9.72,465.1,379.51,Low,1.47,1.14,17.88,T3159
T3161,Malardalen,0.74,28.43,22.52,High,0.95,0.91,0.62,T1059
T3162,PapaBench,4.86,93.09,64.77,High,1.38,0.87,3.65,T3161
T3163,EEMBC,28.35,107.04,80.54,Low,0.81,1.37,45.36,T3162
T3164,PapaBench,1.54,132.09,101.16,High,0.89,0.94,1.71,T3163
T3165,Malardalen,1.21,78.55,54.5,High,1.3,0.83,1.03,T3164
T3166,TACLeBench,9.74,165.89,20.83,High,1.48,0.9,10.71,T3165
T3167,MiBench,47.65,493.4,162.52,High,1.02,1.18,87.68,T3166
T3168,Malardalen,0.21,51.98,38.42,High,1.34,1.04,0.17,T3167
T3169,TACLeBench,7.17,99.73,23.92,Low,0.88,0.93,8.03,T3168
T3170,PapaBench,2.41,244.32,114.01,Low,0.87,0.93,2.82,T3169
T3171,Malardalen,1.7,23.4,4.82,High,0.94,1.09,0.87,T535
T3172,Malardalen,1.63,30.69,20.64,High,1.34,1.35,1.3,T3171
T3173,TACLeBench,18.86,60.95,46.45,High,0.91,1.39,17.35,T3172
T3174,TACLeBench,17.99,140.14,99.04,Low,1.1,1.13,18.53,T3173
T3175,EEMBC,19.1,69.04,42.04,Low,1.48,1.11,23.68,T3174
T3176,MiBench,44.17,291.34,52.31,Low,0.88,0.9,68.91,T3175
T3177,TACLeBench,16.2,126.3,117.64,High,0.88,1.3,12.96,T3176
T3178,PapaBench,0.86,36.52,22.98,Low,1.31,1.28,0.95,T3177
T3179,PapaBench,3.61,190.52,143.09,High,1.18,1.38,3.03,T3178
T3180,TACLeBench,11.49,72.97,66.49,Low,1.43,1.21,10.11,T3179
T3181,PapaBench,1.41,128.78,96.01,High,1.12,0.81,1.17,T184
T3182,Malardalen,0.81,60.23,39.2,Low,0.95,1.38,0.64,T3181
T3183,MiBench,5.85,275.51,28.6,Low,1.05,1.22,11.06,T3182
T3184,PapaBench,2.82,111.6,88.3,High,1.4,1.23,2.96,T3183
T3185,PapaBench,4.54,29.9,23.52,Low,1.25,0.81,2.81,T3184
T3186,EEMBC,21.34,277.9,127.09,High,1.24,0.82,37.77,T3185
T3187,Malardalen,1.46,75.57,5.09,High,1.26,0.87,1.01,T3186
T3188,TACLeBench,14.57,184.09,67.99,High,1.43,0.85,14.57,T3187
T3189,EEMBC,28.23,142.69,84.01,Low,1.47,1.32,47.14,T3188
T3190,MiBench,23.84,465.59,89.77,Low,1.35,0.86,36.48,T3189
T3191,TACLeBench,6.58,128.0,35.21,Low,0.98,0.9,8.22,T88
T3192,TACLeBench,1.04,195.33,3.64,Low,0.93,1.07,1.28,T3191
T3193,Malardalen,1.26,89.41,61.46,Low,0.9,0.84,1.06,T3192
T3194,PapaBench,3.86,70.64,30.47,High,1.03,0.98,2.7,T3193
T3195,TACLeBench,16.69,61.5,51.54,Low,0.92,0.86,19.36,T3194
T3196,EEMBC,23.86,203.72,154.18,Low,1.26,0.81,44.62,T3195
T3197,EEMBC,25.07,241.02,102.26,Low,1.12,1.21,46.38,T3196
T3198,PapaBench,4.66,124.97,90.23,High,1.15,1.32,4.19,T3197
T3199,MiBench,42.82,459.26,160.99,Low,1.37,1.31,49.67,T3198
T3200,TACLeBench,9.84,144.81,80.27,High,1.13,1.37,11.02,T3199
T3201,TACLeBench,6.97,106.67,26.55,High,1.01,1.22,7.6,T1605
T3202,MiBench,5.87,268.69,210.38,Low,1.05,1.11,11.21,T3201
T3203,PapaBench,2.09,138.71,84.92,High,0.86,1.3,1.44,T3202
T3204,TACLeBench,18.44,135.24,109.72,Low,0.92,1.04,21.76,T3203
T3205,PapaBench,3.16,151.97,125.01,High,0.92,1.36,3.76,T3204
T3206,EEMBC,2.64,261.92,20.5,Low,0.99,1.14,3.38,T3205
T3207,TACLeBench,3.49,101.11,5.45,Low,1.15,0.84,4.15,T3206
T3208,TACLeBench,0.86,149.76,66.3,High,0.82,1.34,0.87,T3207
T3209,PapaBench,4.87,162.41,97.4,High,1.46,0.94,3.85,T3208
T3210,PapaBench,2.79,87.13,67.15,Low,0.81,1.11,2.32,T3209
T3211,TACLeBench,5.58,163.81,123.89,Low,0.95,1.21,6.58,T324
T3212,TACLeBench,16.22,71.07,66.42,Low,1.2,0.93,14.27,T3211
T3213,PapaBench,2.35,27.94,3.87,Low,1.01,0.8,1.97,T3212
T3214,MiBench,17.75,441.16,156.81,Low,0.89,1.39,25.38,T3213
T3215,MiBench,33.06,234.81,130.01,Low,0.91,0.96,63.81,T3214
T3216,MiBench,25.54,217.6,138.96,High,1.35,1.03,44.18,T3215
T3217,MiBench,46.01,368.85,156.06,High,0.81,1.31,79.14,T3216
T3218,MiBench,10.81,113.85,58.87,Low,0.81,1.21,11.57,T3217
T3219,MiBench,31.15,277.02,186.18,High,1.07,1.27,43.61,T3218
T3220,PapaBench,4.28,133.22,100.21,High,0.87,0.89,3.64,T3219
T3221,PapaBench,3.51,79.54,55.91,Low,1.2,1.2,3.19,T2409
T3222,MiBench,31.5,210.73,183.96,Low,0.95,0.83,54.18,T3221
T3223,TACLeBench,13.23,70.3,37.21,High,1.2,0.9,17.86,T3222
T3224,TACLeBench,3.08,186.31,62.79,High,1.22,1.27,2.9,T3223
T3225,MiBench,44.41,423.15,349.57,High,1.09,1.07,88.82,T3224
T3226,PapaBench,0.59,173.65,168.82,High,1.03,1.15,0.63,T3225
T3227,TACLeBench,0.6,179.67,73.21,Low,1.36,1.31,0.86,T3226
T3228,TACLeBench,16.04,186.39,22.44,High,1.17,1.12,21.01,T3227
T3229,TACLeBench,14.66,59.22,31.25,High,1.47,1.29,17.45,T3228
T3230,MiBench,24.81,478.48,438.82,Low,1.29,1.29,30.27,T3229
T3231,EEMBC,21.14,231.55,110.02,High,1.27,1.07,48.2,T791
T3232,MiBench,35.97,230.21,140.57,Low,1.03,1.06,46.04,T3231
T3233,TACLeBench,7.33,157.77,39.18,High,0.86,0.92,6.23,T3232
T3234,PapaBench,4.25,104.76,83.59,High,1.26,0.88,4.42,T3233
T3235,EEMBC,21.57,217.23,173.28,Low,1.24,1.26,38.83,T3234
T3236,PapaBench,3.04,174.4,86.71,Low,1.23,1.03,3.62,T3235
T3237,MiBench,43.34,350.43,333.61,Low,0.96,1.08,60.24,T3236
T3238,PapaBench,1.35,113.21,50.62,Low,1.22,1.3,1.28,T3237
T3239,EEMBC,22.55,90.95,64.67,High,1.41,1.37,30.22,T3238
T3240,PapaBench,0.74,113.19,6.15,Low,0.96,1.39,0.52,T3239
T3241,Malardalen,0.34,96.7,28.02,Low,1.34,1.0,0.28,T2877
T3242,PapaBench,3.48,78.02,25.97,Low,1.04,1.05,3.51,T3241
T3243,EEMBC,27.63,181.01,131.46,Low,1.33,1.08,36.75,T3242
T3244,PapaBench,0.11,165.27,94.69,Low,1.46,0.92,0.07,T3243
T3245,PapaBench,3.13,190.3,51.22,Low,1.49,0.98,2.22,T3244
T3246,EEMBC,13.41,165.7,83.21,Low,0.99,0.85,27.62,T3245
T3247,TACLeBench,6.24,128.29,102.43,High,1.41,0.92,7.86,T3246
T3248,MiBench,6.12,176.19,168.97,Low,1.46,1.01,8.32,T3247
T3249,Malardalen,0.82,42.33,13.59,High,1.35,1.13,0.7,T3248
T3250,MiBench,41.55,282.08,111.75,Low,1.15,1.33,71.88,T3249
T3251,TACLeBench,1.77,171.07,10.47,High,1.1,1.13,2.12,T1194
T3252,PapaBench,2.98,65.17,35.96,High,1.46,1.28,2.8,T3251
T3253,PapaBench,4.48,141.33,47.92,High,1.18,0.83,2.78,T3252
T3254,PapaBench,4.49,212.75,202.8,Low,1.14,1.31,4.36,T3253
T3255,EEMBC,14.05,141.28,124.08,High,1.09,0.89,33.86,T3254
T3256,MiBench,47.29,195.22,69.9,Low,0.99,0.91,87.01,T3255
T3257,TACLeBench,14.95,171.74,136.42,Low,1.16,1.27,19.14,T3256
T3258,MiBench,36.52,430.16,60.21,High,1.38,1.22,51.49,T3257
T3259,PapaBench,3.29,110.15,19.58,Low,0.86,1.01,3.68,T3258
T3260,PapaBench,2.79,223.06,12.47,High,1.49,0.99,2.23,T3259
T3261,TACLeBench,7.7,114.08,43.64,High,1.34,0.98,9.39,T1359
T3262,MiBench,31.15,195.65,110.64,Low,1.41,1.13,52.64,T3261
T3263,EEMBC,1.23,101.21,79.93,Low,1.49,1.35,2.21,T3262
T3264,TACLeBench,0.89,186.13,25.19,High,1.01,0.87,0.91,T3263
T3265,TACLeBench,19.39,154.38,79.95,Low,1.21,1.04,27.73,T3264
T3266,EEMBC,18.56,298.77,120.89,High,0.9,0.96,37.86,T3265
T3267,EEMBC,2.78,208.69,187.24,Low,1.12,0.9,6.34,T3266
T3268,TACLeBench,8.95,181.94,161.46,Low,1.24,1.27,10.47,T3267
T3269,TACLeBench,12.62,167.59,127.71,Low,0.86,1.09,15.27,T3268
T3270,MiBench,34.13,246.98,192.54,High,1.1,1.27,54.61,T3269
T3271,MiBench,32.87,219.55,125.7,Low,1.47,1.2,60.15,T390
T3272,TACLeBench,10.67,183.54,148.64,High,1.42,0.98,8.75,T3271
T3273,Malardalen,1.62,49.48,20.41,High,1.39,0.99,1.04,T3272
T3274,MiBench,27.96,249.54,214.15,Low,1.43,0.83,29.36,T3273
T3275,PapaBench,2.36,127.49,125.45,High,1.44,1.3,1.98,T3274
T3276,MiBench,5.45,177.49,31.37,High,1.3,1.09,10.41,T3275
T3277,MiBench,12.09,480.4,154.55,Low,1.17,1.36,12.94,T3276
T3278,MiBench,19.61,235.57,116.65,High,0.81,1.32,29.22,T3277
T3279,TACLeBench,2.29,175.57,87.24,Low,0.82,1.06,2.2,T3278
T3280,PapaBench,1.85,55.98,45.73,High,1.23,1.38,1.41,T3279
T3281,EEMBC,1.55,219.21,194.23,Low,0.88,0.82,2.33,T1607
T3282,TACLeBench,8.64,123.51,63.22,Low,0.85,1.0,7.78,T3281
T3283,PapaBench,1.66,146.46,54.68,Low,1.1,0.95,1.96,T3282
T3284,MiBench,19.24,358.6,326.72,Low,1.26,1.14,37.71,T3283
T3285,Malardalen,0.77,38.34,36.52,Low,1.23,1.11,0.4,T3284
T3286,Malardalen,0.81,97.71,37.88,Low,1.37,1.36,0.69,T3285
T3287,PapaBench,3.74,171.42,136.76,High,1.37,1.2,3.44,T3286
T3288,TACLeBench,13.75,155.82,91.92,High,0.86,0.84,11.27,T3287
T3289,TACLeBench,2.99,63.73,25.98,High,0.89,1.35,2.48,T3288
T3290,MiBench,10.04,356.78,346.29,Low,0.97,1.23,19.48,T3289
T3291,Malardalen,1.47,41.1,21.15,High,1.25,0.97,1.0,T1444
T3292,Malardalen,0.4,17.01,4.93,High,1.39,1.12,0.29,T3291
T3293,PapaBench,2.43,68.5,47.96,Low,1.12,1.02,2.72,T3292
T3294,TACLeBench,3.86,76.95,22.15,Low,1.47,0.84,4.48,T3293
T3295,PapaBench,3.34,52.31,35.63,High,1.41,1.22,3.61,T3294
T3296,PapaBench,3.13,27.67,26.48,Low,0.92,1.26,2.32,T3295
T3297,MiBench,29.27,385.19,30.3,Low,1.43,0.98,55.32,T3296
T3298,MiBench,17.14,164.29,130.51,Low,1.2,1.31,17.83,T3297
T3299,PapaBench,4.86,124.38,71.51,High,1.22,1.28,3.26,T3298
T3300,TACLeBench,5.78,145.58,78.03,Low,1.28,1.31,4.8,T3299
T3301,PapaBench,1.75,145.85,66.62,Low,1.36,1.27,1.99,T2747
T3302,PapaBench,1.89,162.55,154.25,High,0.93,1.16,2.21,T3301
T3303,TACLeBench,4.87,96.24,68.05,High,1.0,1.21,6.96,T3302
T3304,EEMBC,16.61,105.85,43.92,High,0.81,1.36,35.21,T3303
T3305,EEMBC,25.99,174.63,171.03,High,0.93,0.88,60.56,T3304
T3306,PapaBench,1.96,155.27,85.93,High,1.08,1.31,2.23,T3305
T3307,Malardalen,0.7,90.73,7.35,Low,1.32,0.94,0.61,T3306
T3308,TACLeBench,17.76,96.94,70.74,Low,1.24,1.06,26.46,T3307
T3309,EEMBC,24.79,172.7,155.28,Low,0.81,1.31,51.32,T3308
T3310,Malardalen,1.14,79.76,41.01,High,1.08,0.92,0.6,T3309
T3311,Malardalen,0.15,43.12,1.98,High,0.97,1.17,0.11,T2629
T3312,EEMBC,26.24,195.95,31.66,Low,0.89,1.0,57.47,T3311
T3313,Malardalen,0.72,96.27,43.78,Low,1.46,1.12,0.45,T3312
T3314,PapaBench,4.87,36.59,6.86,Low,1.05,1.16,3.12,T3313
T3315,MiBench,17.0,442.98,79.95,High,1.2,0.84,32.13,T3314
T3316,TACLeBench,6.0,120.87,115.28,Low,1.35,1.06,8.64,T3315
T3317,EEMBC,22.49,177.59,154.95,Low,1.39,1.25,42.73,T3316
T3318,MiBench,30.47,430.13,116.97,Low,1.09,1.08,48.14,T3317
T3319,MiBench,25.87,114.63,50.58,Low,0.86,1.37,29.49,T3318
T3320,Malardalen,1.25,12.12,3.13,High,1.22,1.07,1.21,T3319
T3321,PapaBench,2.2,222.19,100.35,High,1.5,1.1,1.87,T315
T3322,Malardalen,0.11,94.77,86.71,High,1.41,0.99,0.08,T3321
T3323,EEMBC,9.75,243.71,95.43,Low,1.46,0.88,14.14,T3322
T3324,TACLeBench,9.22,121.76,60.93,High,1.19,0.87,9.5,T3323
T3325,Malardalen,0.38,54.56,32.5,High,1.05,1.21,0.2,T3324
T3326,MiBench,8.76,340.53,121.9,High,0.96,0.87,13.05,T3325
